n-gram,size
kinaki,1
korowai,1
kowhaiwhai,1
maori tikanga,2
mauriora,1
ngati ranginui iwi,3
ngati rangiwewehi,2
patupaiarehe,1
pukemokimoki marae,2
ruia te kakano,3
taepa,1
te ao marama,3
te matatini kapahaka,3
te rerenga kotuku,3
tititorea,1
whau,1
apatu,1
ataarangi,1
auaha,1
awa whenua,2
haki tahana,2
hinurewa poutu,2
huinga rangatahi,2
kaea,1
kahungunu kia eke,3
kaiaia,1
kaiwhakaako,1
kapa haka i,3
katerina mataira,2
kingi ria,2
ko wai e huna ana,5
korero mai,2
kori kori a iwi,4
kotahitanga,1
kotuku tomoana,2
kupu hou,2
maaka,1
maia ariana anahera,3
maimoatia,1
makariri,1
maori whakatauki,2
matanga maori,2
materoa haenga,2
matua tamai,2
maungakaramea,1
metaia keepa,2
mihingarangi,1
moana moko,2
nga mihi,2
nga tohu reo maori,5
ngai te rangi,3
ngati kahungungu,2
ngoi pewhairangi,2
ohauiti,1
oma rapiti,2
otonga,1
pene nepe,2
pipiwai,1
pohiri,1
potaua,1
pukana,1
rapata wiri,2
roko,1
roo,1
ropu,1
rotorua-nui-a-kahumatamomoe,1
taihoa,1
taiopenga o tuwharetoa,3
takitimu waka,2
taura whiri i te reo maori,6
te akau ki papamoa,4
te aokehu,2
te aonui papakainga,3
te aranga marae,3
te hapua,2
te iwa o matariki,4
te kahui o rauru,4
te kura kaupapa maori o otepou,6
te kura o matapihi,4
te potiki hononga kura,4
te puawai,2
te raania,2
te rehia,2
te reo he,3
te reo te reo,4
te reo tuatahi,3
te runanga o ngai te rangi iwi,7
te wananga o aotearoa maori,5
te wananga o tamaki nui a rua,7
te wharekura o mauao,4
te wharekura o ngati rongomai,5
toeke,1
toro pikopiko,2
tuakana teina,2
tuehu,1
turangawaewae,1
wananga kura,2
whaea,1
whakamoemiti,1
whakatauki,1
whangaihia te reo maori ki nga matua,7
whare pukapuka,2
whiu,1
wiki o te reo maori,5
witeri,1
hauturu,1
hemopo,1
huriwai,1
iwi hapu,2
kanikani,1
kapa-haka,1
kapahaka,1
karauria,1
kata,1
kokopu,1
mangawhai,1
nga,1
ngati whatua o orakei,4
omanu,1
paenga,1
pakaitore,1
pakipaki,1
potaka,1
taitokerau,1
teara,1
tunohopu marae,2
tutaekuri,1
umu,1
upokongaro,1
waiora,1
whenua,1
hika,1
hiko,1
hoani waititi marae,3
ihenga,1
katarina,1
manaia,1
maori pakeha,2
mateni,1
matewai,1
maungatapere,1
ngati hine,2
ngati tumatauenga,2
niko,1
puke,1
raukatauri,1
rotorua maori,2
rumaki,1
tamatekapua,1
tangatawhenua,1
te kohanga reo,3
te papa tongarewa,3
te whare wananga o awanuiarangi,5
tohunga,1
utu,1
waipuna,1
whangerei,1
a-minute,1
ahi,1
aine,1
akarua,1
akihito,1
amaia ngapora,2
amarama,1
amauri,1
amore,1
anaemia,1
anake,1
animate,1
arai hema,2
ariana,1
arohaina,1
arona,1
arunee,1
ata rangi,2
atonu,1
atua,1
aupepe,1
awamoko,1
awatea,1
eaterie,1
eeo,1
eie,1
en-route,1
epiha,1
haki te kura,3
hapi,1
hapuka,1
hato paora,2
hato paora maori,3
haumaha,1
haumoana,1
he waka taurua,3
hemera,1
heremia,1
herima,1
heu heu,2
hiku,1
hikuai,1
hina,1
hine huata,2
hineata kotara,2
hinemoana,1
hinewhare,1
hirano,1
hirohito,1
hiroko tamano,2
hohonu,1
hone kaiwai,2
hone tuwhare,2
horotane,1
huapai,1
huarangi,1
humaira,1
humana,1
huriwaka,1
ihaia,1
ihi,1
ihimaera,1
ikaroa-rawhiti,1
ike,1
ikuna,1
inangahua,1
inoke,1
ioana,1
ite,1
ka tiriti o te moana,5
kahikatea,1
kaho,1
kahurautete,1
kaihautu,1
kaira,1
kairakau,1
kairaki,1
kairau,1
kairua,1
kamana,1
kamoto,1
kana,1
kanai,1
kapa hanga kainga,3
kapi mana,2
kapiti wairarapa,2
kapiti-mana,1
kari,1
kati,1
katipa,1
kawahata,1
kawariki,1
kawera,1
keane wainuiomata,2
keiko,1
keitiria,1
kerangi,1
kere,1
kihi tawhai,2
kimani,1
kira,1
kiriau taieri,2
kokiri marae,2
koko,1
koopu,1
koraunui te kohanga reo,4
koura,1
kua ranea aperahama,3
kururangi,1
kute,1
kuwaiti,1
ma-tori,1
maaka pohatu,2
maea,1
mahanama,1
mahanga,1
maheno,1
mahina,1
mahinapua,1
mahuru kaikorai,2
makarini,1
makea,1
makino,1
mamaku,1
manarua,1
manawatu whanganui,2
mane,1
mangu kaha,2
mano,1
manu ura,2
manu-wai,1
marae where he,3
maraekakaho,1
mareo,1
marewa,1
mataau,1
matamanoa,1
matata,1
matiaha,1
matu,1
mauheni,1
maunakea,1
maungaturoto,1
maupuia,1
meena,1
mereana aranga,2
meti,1
